# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.1 Build 153 11/29/2010 SJ Web Edition
# File: /home/elpuri/repos/VHDL-tidbits/ep1board/ep1_pin_assignments.csv
# Generated on: Sun Feb  9 19:40:18 2014

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,seven_seg_an[0],Location,PIN_83,Yes,,,
Ok,,seven_seg_an[1],Location,PIN_84,Yes,,,
Ok,,seven_seg_an[2],Location,PIN_85,Yes,,,
Ok,,seven_seg_an[3],Location,PIN_91,Yes,,,
Ok,,seven_seg[0],Location,PIN_76,Yes,,,
Ok,,seven_seg[1],Location,PIN_74,Yes,,,
Ok,,seven_seg[3],Location,PIN_78,Yes,,,
Ok,,seven_seg[4],Location,PIN_79,Yes,,,
Ok,,seven_seg[5],Location,PIN_75,Yes,,,
Ok,,seven_seg[7],Location,PIN_73,Yes,,,
Ok,,leds[0],Location,PIN_57,Yes,,,
Ok,,leds[1],Location,PIN_55,Yes,,,
Ok,,leds[2],Location,PIN_52,Yes,,,
Ok,,leds[3],Location,PIN_49,Yes,,,
Ok,,leds[4],Location,PIN_47,Yes,,,
Ok,,leds[5],Location,PIN_42,Yes,,,
Ok,,clk_50,Location,PIN_92,Yes,,,
Ok,,buzz,Location,PIN_94,Yes,,,
Ok,,btn[0],Location,PIN_67,Yes,,,
Ok,,btn[1],Location,PIN_62,Yes,,,
Ok,,btn[2],Location,PIN_61,Yes,,,
Ok,,btn[3],Location,PIN_60,Yes,,,
Ok,,seven_seg[2],Location,PIN_77,Yes,,,
Ok,,seven_seg[6],Location,PIN_82,Yes,,,
Ok,,uart_txd,Location,PIN_69,Yes,,,
Ok,,uart_rxd,Location,PIN_68,Yes,,,
Ok,,sw[0],Location,PIN_54,Yes,,,
Ok,,sw[1],Location,PIN_53,Yes,,,
Ok,,sw[2],Location,PIN_51,Yes,,,
Ok,,sw[3],Location,PIN_50,Yes,,,
Ok,,sw[4],Location,PIN_48,Yes,,,
Ok,,sw[5],Location,PIN_41,Yes,,,
Ok,,hd44780_rs,Location,PIN_96,Yes,,,
Ok,,hd44780_rw,Location,PIN_97,Yes,,,
Ok,,hd44780_en,Location,PIN_98,Yes,,,
Ok,,hd44780_data[0],Location,PIN_99,Yes,,,
Ok,,hd44780_data[1],Location,PIN_100,Yes,,,
Ok,,hd44780_data[2],Location,PIN_108,Yes,,,
Ok,,hd44780_data[3],Location,PIN_109,Yes,,,
Ok,,hd44780_data[4],Location,PIN_110,Yes,,,
Ok,,hd44780_data[5],Location,PIN_111,Yes,,,
Ok,,hd44780_data[6],Location,PIN_112,Yes,,,
Ok,,hd44780_data[7],Location,PIN_113,Yes,,,
